Gene	SJMMALZ058765_G1	SJMMALZ058766_G1	SJMMALZ058768_G1	SJMMALZ058769_G1	SJMMALZ058771_G1	SJMMALZ058772_G1	SJMMALZ058773_G1	SJMMALZ058774_G1	SJMMALZ058775_G1	SJMMALZ058776_G1	SJMMALZ058778_G1	SJMMALZ058779_G1	SJMMALZ058780_G1	SJMMALZ058781_G1	SJMMALZ058782_G1
ENSMUSG00000020467	2249	2125	2798	2831	1253	2325	1432	1166	2265	2444	1335	4219	2632	3346	1759
ENSMUSG00000093393	1	2	1	0	0	0	7	2	0	2	1	5	1	2	0
ENSMUSG00000093392	4	4	2	4	6	0	0	1	0	5	0	0	0	2	0
ENSMUSG00000093395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093394	36	39	72	127	45	82	61	85	102	136	57	73	53	74	60
ENSMUSG00000093391	8	3	10	6	0	0	3	14	5	7	6	4	3	2	7
ENSMUSG00000093390	8	2	7	5	3	5	8	3	4	8	3	9	7	18	3
ENSMUSG00000054236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054237	1815	1458	2226	2025	1083	1423	1484	1553	1959	2182	1240	2227	1577	1685	1046
ENSMUSG00000082330	0	0	0	0	0	1	1	5	4	0	0	8	0	0	0
ENSMUSG00000027457	79651	79483	90913	103281	49550	62789	64441	65825	60543	93799	54634	72190	66994	67825	48038
ENSMUSG00000082331	1	1	0	0	0	0	0	1	0	4	0	1	0	3	1
ENSMUSG00000027456	306	323	470	428	218	285	281	404	227	430	204	363	332	415	194
ENSMUSG00000061911	37584	36969	42810	33431	25787	33263	24342	33382	33071	51717	18554	33916	28079	36724	14621
ENSMUSG00000082332	0	1	1	0	0	4	2	0	0	0	1	1	0	1	0
ENSMUSG00000027455	11230	13012	14351	17145	8140	10461	9753	10115	12612	15990	8506	14342	12263	12243	7788
ENSMUSG00000082333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027454	103	69	143	135	86	131	94	86	119	236	81	204	90	131	57
ENSMUSG00000088608	6	5	9	1	0	3	6	4	0	12	8	5	8	7	5
ENSMUSG00000082334	6	20	13	11	8	34	1	4	6	20	9	18	1	7	2
ENSMUSG00000056370	0	1	4	8	0	2	0	0	1	1	0	3	0	6	0
ENSMUSG00000088609	362	399	464	663	301	549	882	660	640	769	762	580	480	322	318
ENSMUSG00000082336	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0
ENSMUSG00000027459	615	754	787	917	423	631	493	519	762	952	498	878	704	726	513
ENSMUSG00000082337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088604	4	1	1	10	2	0	2	5	10	16	4	7	10	11	1
ENSMUSG00000082338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088605	0	0	5	7	2	2	1	1	5	14	1	6	4	4	1
ENSMUSG00000082339	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000088606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088600	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000088601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027452	4703	4384	5167	7204	2668	3968	4155	4077	6411	7211	3185	5928	4728	4623	2734
ENSMUSG00000088602	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000088603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054247	9	18	15	8	14	27	3	8	6	15	5	14	4	17	26
ENSMUSG00000082340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082343	3	0	0	5	0	2	0	0	2	1	0	1	0	1	0
ENSMUSG00000027444	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027443	0	1	5	0	0	3	0	1	0	0	6	8	1	0	0
ENSMUSG00000082341	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000027446	0	0	1	4	1	0	0	0	0	1	1	7	3	1	1
ENSMUSG00000082342	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082347	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000056383	746	686	949	777	494	685	633	708	1058	1053	588	1074	710	983	370
ENSMUSG00000082348	53	59	61	57	40	43	51	100	88	111	51	76	63	42	43
ENSMUSG00000027447	100266	90746	116586	147703	61136	85321	93184	113486	151506	240447	70806	229733	167144	171920	65380
ENSMUSG00000061906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082345	1	11	10	6	2	1	7	7	2	19	0	15	1	7	1
ENSMUSG00000082346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056380	8	5	20	29	9	75	22	6	92	61	67	76	22	32	10
ENSMUSG00000061904	56232	60480	67464	71928	38769	51209	48326	54757	59182	80142	39195	64840	56026	57265	35627
ENSMUSG00000082349	1	0	0	2	0	0	0	0	1	0	0	0	7	0	0
ENSMUSG00000027442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054258	0	3	0	0	0	6	1	6	0	0	0	1	0	1	1
ENSMUSG00000088621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082351	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019689	1414	1445	1702	1877	1016	1215	1190	1382	1661	2121	979	1794	1456	1420	1021
ENSMUSG00000082350	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082356	5	10	0	19	10	2	1	0	6	5	1	4	0	5	8
ENSMUSG00000027439	5857	7093	7660	7650	4294	5834	5359	5319	6368	8370	4085	6994	6121	6439	3353
ENSMUSG00000082357	19	24	44	48	22	35	12	26	22	48	22	53	22	46	19
ENSMUSG00000027438	81519	108105	113868	100481	70017	98795	68294	79660	81892	122062	68215	90226	81518	86736	55926
ENSMUSG00000082358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056394	1406	1378	2030	2095	1462	1700	1711	1753	1896	2446	1228	2094	1840	2156	1265
ENSMUSG00000082359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027435	2666	2426	2106	3257	1173	1519	1639	1428	1754	2590	1211	2038	2177	1859	1313
ENSMUSG00000082353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027434	319	282	349	492	223	318	386	312	488	607	242	685	410	559	309
ENSMUSG00000082354	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0
ENSMUSG00000027433	6474	7118	8157	7568	4950	6874	5434	5931	7342	9547	4402	8135	6213	6735	4059
ENSMUSG00000082355	14	12	18	36	5	17	27	20	43	53	25	59	27	24	5
ENSMUSG00000088622	3	2	1	2	4	5	1	4	14	2	1	0	7	4	0
ENSMUSG00000027431	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1
ENSMUSG00000088623	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000027430	5485	6694	7367	7680	4394	5500	4720	4968	5906	7102	4459	6560	5605	5204	4079
ENSMUSG00000054252	21405	19820	25494	28290	13434	17644	19336	18543	17288	28002	13862	21496	16629	23191	13216
ENSMUSG00000056399	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000088624	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088625	32	49	63	84	17	46	73	42	59	64	44	67	52	43	30
ENSMUSG00000088626	8	2	12	4	1	9	6	8	12	19	0	7	11	6	1
ENSMUSG00000088627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054256	4481	4402	5390	6528	3272	4041	4781	4350	4942	6453	3409	5451	4462	5003	3190
ENSMUSG00000088628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088629	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0
ENSMUSG00000082362	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000082361	60	58	74	72	39	50	63	49	101	79	46	109	49	135	19
ENSMUSG00000019699	24284	25121	29536	23224	17515	24450	17306	23592	24316	32911	14906	23333	20680	24539	12167
ENSMUSG00000082360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027429	6792	7396	8703	8230	4924	6959	5684	6646	7869	9773	4716	8614	7259	7950	4819
ENSMUSG00000082369	11	1	1	2	0	0	0	2	1	5	0	1	0	0	0
ENSMUSG00000027425	5477	6271	7237	6769	4035	5500	4954	5473	6040	7787	3959	6316	5474	6273	3877
ENSMUSG00000088619	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000082367	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000027428	4759	5284	6476	6486	3324	4812	4421	4185	5218	6610	3626	6358	4920	5395	3268
ENSMUSG00000082368	0	0	0	2	0	0	2	2	0	1	1	0	1	0	0
ENSMUSG00000027427	4099	4588	5172	4994	2797	4040	3407	3895	4415	6182	2663	4859	3786	4388	2490
ENSMUSG00000082365	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000027422	9794	9918	11292	14053	6240	8318	8748	9202	13790	18514	5876	16937	10492	13757	5944
ENSMUSG00000082366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082363	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000027424	1038	1023	1230	1457	588	959	908	918	1091	1461	709	1416	853	1059	660
ENSMUSG00000082364	64	53	60	80	26	38	52	45	54	74	40	57	24	56	18
ENSMUSG00000027423	14344	13742	18090	15957	8883	12173	12050	13421	16059	22283	8625	20487	15166	17051	8763
ENSMUSG00000088613	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088614	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0
ENSMUSG00000088611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027420	65	66	102	171	32	76	88	74	125	189	75	113	89	71	50
ENSMUSG00000088612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054263	7596	8187	10759	8165	5351	7704	5982	8525	7985	10782	5367	9000	6681	8246	4870
ENSMUSG00000088617	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000054266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088615	0	1	4	6	1	3	3	2	4	14	1	4	1	6	2
ENSMUSG00000088616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005813	5643	6770	7151	7810	4134	5615	5226	5368	5709	8231	4466	7528	6186	6201	3954
ENSMUSG00000027419	73440	94996	107916	89308	62670	78985	64518	67710	61307	92276	55875	75677	68987	58408	53258
ENSMUSG00000082370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082371	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000082372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082373	32	24	30	37	57	33	14	40	17	23	37	19	6	8	6
ENSMUSG00000088640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088641	3	0	3	4	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000088643	5	9	9	11	4	6	10	4	4	15	3	1	7	2	0
ENSMUSG00000088649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088648	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
ENSMUSG00000056332	23	25	39	37	23	22	58	9	32	53	18	36	33	71	34
ENSMUSG00000088644	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082375	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0
ENSMUSG00000027412	204	141	199	175	72	160	161	175	375	309	104	317	198	219	111
ENSMUSG00000082374	0	1	0	0	0	0	9	0	2	6	0	4	1	0	0
ENSMUSG00000082377	9	8	10	15	24	13	20	10	23	15	9	17	13	22	1
ENSMUSG00000082376	15	1	2	6	0	1	6	0	1	10	2	4	3	12	6
ENSMUSG00000027411	8603	9652	11169	11512	6487	8365	7989	7948	9256	12768	6373	10717	8474	9437	6073
ENSMUSG00000082379	1	6	11	7	7	6	4	4	7	8	5	3	1	4	3
ENSMUSG00000027416	0	6	4	1	0	0	3	0	8	13	6	1	0	4	0
ENSMUSG00000082378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005800	0	1	4	1	1	0	1	0	0	5	0	6	0	4	0
ENSMUSG00000027408	1280	1097	1584	1686	819	1076	1016	1108	1281	1612	790	1523	1331	1260	700
ENSMUSG00000082380	0	1	0	0	0	0	1	1	1	3	0	1	0	1	0
ENSMUSG00000005802	11808	11748	15273	10635	9384	12082	9084	13060	12537	16404	7650	11799	11377	14208	7237
ENSMUSG00000027409	78	82	97	76	45	76	46	86	119	124	39	74	52	87	14
ENSMUSG00000082383	36	41	49	67	48	37	35	31	46	91	14	31	27	91	17
ENSMUSG00000082384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082381	103	93	143	153	88	82	66	98	85	182	73	100	72	100	54
ENSMUSG00000082382	0	0	2	0	0	0	2	2	0	2	0	0	0	0	1
ENSMUSG00000088631	0	0	0	1	0	1	1	3	2	0	1	0	1	0	0
ENSMUSG00000015112	311	236	344	312	226	315	345	390	797	500	191	709	356	554	229
ENSMUSG00000088632	5	2	9	22	2	4	10	4	7	9	6	5	9	5	5
ENSMUSG00000088630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054204	80	213	89	286	47	89	89	48	95	101	76	111	140	73	58
ENSMUSG00000054203	11	0	11	5	1	5	3	15	14	71	11	30	28	30	0
ENSMUSG00000054206	313	251	267	332	156	205	214	296	346	369	132	285	230	251	193
ENSMUSG00000020295	62	62	60	78	38	56	46	95	83	95	55	59	56	70	41
ENSMUSG00000056342	9537	11761	13471	11524	7924	11288	8238	10057	11397	16285	6891	11280	10074	12118	5519
ENSMUSG00000088639	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054200	6	3	9	24	4	14	7	2	10	26	1	18	22	1	21
ENSMUSG00000088638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088637	4	0	0	0	0	0	0	0	0	0	0	8	0	0	1
ENSMUSG00000020299	11	14	23	26	4	6	26	8	22	17	20	38	15	11	34
ENSMUSG00000088635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088634	42	44	74	85	21	49	41	55	48	85	42	74	91	42	44
ENSMUSG00000020297	88396	110054	107255	130083	57599	80266	63677	66219	95191	106682	69746	99990	74584	73121	55169
ENSMUSG00000088633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082388	0	2	6	0	0	0	0	1	1	0	1	1	0	0	0
ENSMUSG00000082387	5	29	14	33	3	0	1	4	11	12	13	10	2	8	14
ENSMUSG00000027400	4853	5228	4938	6838	2454	3128	3075	3300	4832	4625	2764	6554	3699	4073	2341
ENSMUSG00000082386	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000027401	723	1028	1165	972	658	585	524	715	669	845	669	476	495	682	523
ENSMUSG00000005803	713	672	821	1139	432	579	574	590	1203	1241	415	1194	754	982	497
ENSMUSG00000027403	12	59	30	77	9	24	20	10	33	59	27	56	5	3	10
ENSMUSG00000005804	4814	5608	6023	5516	3627	4710	3888	4441	5205	6592	3647	5341	4234	4112	3377
ENSMUSG00000027404	8650	9095	10432	11671	6124	7917	7584	8836	8866	12109	6330	10203	8260	9744	5701
ENSMUSG00000027405	12142	12888	15873	18193	9046	11187	12159	11594	12427	17403	8826	15029	13200	13497	8139
ENSMUSG00000082389	1	0	3	0	0	2	0	0	1	3	0	1	1	2	0
ENSMUSG00000020290	11198	12950	13862	15309	6923	11193	9149	9638	14320	17600	7594	14551	11420	13220	6255
ENSMUSG00000027406	30569	32107	38477	38681	22707	28820	26133	29396	30490	41418	21825	34413	30183	29941	20876
ENSMUSG00000082392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082393	6	0	1	3	1	1	8	10	1	14	6	5	2	7	0
ENSMUSG00000082394	26	22	15	16	16	38	13	19	20	30	18	18	3	19	21
ENSMUSG00000082395	0	0	0	0	0	6	0	2	0	5	0	0	0	0	0
ENSMUSG00000082390	0	0	1	1	0	0	8	1	1	0	0	0	1	0	0
ENSMUSG00000088660	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000054215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088661	16	5	14	13	6	8	7	1	8	21	5	15	0	6	0
ENSMUSG00000088662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088663	0	0	0	1	1	0	0	1	1	0	0	0	0	5	0
ENSMUSG00000056359	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1
ENSMUSG00000088665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020286	53	57	94	74	92	72	65	63	40	136	52	70	65	104	39
ENSMUSG00000088666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020287	1463	1223	1939	1872	1091	1200	1304	1260	1553	2003	1022	1455	1219	1274	878
ENSMUSG00000088669	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000020288	4094	5108	5498	6286	2734	3819	3681	3496	4385	5801	2920	5349	3535	4649	2924
ENSMUSG00000088668	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
ENSMUSG00000020289	4750	4610	5994	6203	3303	4681	4022	4557	5580	6863	3473	5695	4696	4688	3050
ENSMUSG00000020282	2772	2562	3215	4336	1832	1964	2615	2482	2572	4123	1870	3778	3394	3200	1507
ENSMUSG00000056351	10	9	20	35	6	6	17	11	0	16	3	12	15	1	2
ENSMUSG00000020283	5327	5459	6593	6625	3387	5044	4460	4767	5701	6956	3685	6170	5018	5147	3238
ENSMUSG00000020284	5241	5681	6443	8262	3596	5040	4821	4518	5497	7259	3901	6392	4865	4947	3860
ENSMUSG00000020280	2131	2116	3053	2946	1595	2079	2046	2212	2578	3309	1511	2778	1979	2609	1319
ENSMUSG00000005836	27	1	15	8	12	5	2	17	17	10	1	13	5	0	9
ENSMUSG00000056350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082396	63	61	102	36	26	78	47	30	58	123	38	73	38	41	40
ENSMUSG00000082399	495	525	660	846	342	456	403	420	582	926	365	735	480	483	343
ENSMUSG00000082398	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000012211	6	2	1	4	1	1	10	4	6	6	0	17	3	3	0
ENSMUSG00000005824	8	1	8	0	0	2	0	0	3	6	0	6	0	1	0
ENSMUSG00000005823	4085	3812	4650	5493	2542	3351	3496	3700	4991	6118	2910	5549	4068	4575	2854
ENSMUSG00000054226	8558	8223	9276	11487	5573	7738	6972	6404	10618	11565	4844	11885	9137	9081	4861
ENSMUSG00000088650	6	7	12	19	3	4	10	5	7	12	4	7	1	8	0
ENSMUSG00000088653	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000088654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020279	1	14	1	0	0	2	2	1	2	4	1	1	1	1	2
ENSMUSG00000088658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020277	27142	36877	34202	41541	19166	28468	24218	22520	24323	38829	21490	33195	26007	23717	18761
ENSMUSG00000088657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020275	60	117	116	94	65	119	72	153	117	339	40	113	79	217	25
ENSMUSG00000056366	1165	1358	1508	1672	880	1065	1001	1145	1084	1691	928	1350	1212	1292	825
ENSMUSG00000088655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056367	14938	16222	18615	15888	10397	14331	11073	14033	13365	18339	10035	14564	12036	12578	9358
ENSMUSG00000020273	2681	3277	3330	2841	1968	2655	2084	2442	2813	4026	1729	3193	2346	2909	1584
ENSMUSG00000056364	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0
ENSMUSG00000020271	28122	30934	35372	31337	20039	26506	22398	27911	28084	38588	19544	31627	26435	27434	18411
ENSMUSG00000088659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020272	1497	1629	1644	2409	1176	1145	1828	1986	2152	3456	1208	2542	2151	2428	1194
ENSMUSG00000020270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086899	6	1	2	3	0	1	9	0	6	1	1	1	0	0	6
ENSMUSG00000049176	8578	10741	12000	9539	7435	9874	7255	9094	11590	13589	5827	9840	8157	10578	5220
ENSMUSG00000086897	164	129	237	124	165	168	129	230	172	296	72	193	169	148	124
ENSMUSG00000086898	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0
ENSMUSG00000049173	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000088688	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086895	216	170	267	250	141	148	199	214	230	300	96	250	227	197	116
ENSMUSG00000088689	14	4	13	13	4	7	4	7	8	11	9	18	4	15	3
ENSMUSG00000086896	126	113	133	148	76	113	106	140	150	140	126	101	132	68	59
ENSMUSG00000088687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086894	87	131	175	290	67	115	170	112	123	259	97	230	164	141	85
ENSMUSG00000088686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086893	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0
ENSMUSG00000088685	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000086892	4	0	22	12	27	1	4	15	13	10	0	4	6	3	4
ENSMUSG00000088684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086891	1	0	0	1	0	0	0	2	1	4	4	2	2	0	0
ENSMUSG00000088683	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSMUSG00000086890	59	80	61	69	41	30	51	50	61	81	53	86	50	62	40
ENSMUSG00000088682	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000088681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088680	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
ENSMUSG00000049168	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000049164	1447	1243	1957	1451	866	1366	1055	1363	1910	2125	835	1799	1237	1422	628
ENSMUSG00000070099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000012282	2	19	5	6	0	3	6	0	2	2	4	15	1	5	6
ENSMUSG00000088678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049160	48	51	44	80	24	45	53	64	76	100	26	47	27	95	13
ENSMUSG00000088679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088674	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000088675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005846	7129	7790	9464	8913	5282	6934	5796	6703	7349	9705	4718	8865	7129	7413	4632
ENSMUSG00000070084	22	7	10	13	7	9	1	16	11	16	2	6	7	13	2
ENSMUSG00000070080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005871	52463	57662	60509	58637	35104	53560	42516	49241	54838	79960	30671	54477	39403	49094	25698
ENSMUSG00000005873	62198	67319	79112	77789	44803	62667	52008	59477	66930	87928	46799	75081	64300	62870	42705
ENSMUSG00000088699	1	0	0	0	0	0	2	2	0	1	0	1	1	0	2
ENSMUSG00000049184	3711	4163	4287	5015	2429	3451	3041	3058	3332	4485	2522	3984	3004	3297	2414
ENSMUSG00000070078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070077	1	1	0	0	3	0	1	14	6	1	1	0	10	9	0
ENSMUSG00000070076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070074	0	1	1	0	0	0	0	0	0	0	1	0	3	1	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088695	2	6	5	6	0	6	8	18	12	8	1	1	1	2	6
ENSMUSG00000070071	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049191	4538	4810	5096	5422	2620	3490	3891	3661	3630	5458	2949	5042	4594	4100	2778
ENSMUSG00000088697	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005864	74	106	138	120	60	79	58	82	56	80	66	168	140	97	35
ENSMUSG00000088690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049130	171	170	118	244	43	83	100	153	309	535	118	475	338	324	89
ENSMUSG00000005899	20289	22611	24601	33941	11781	17090	17818	14332	17669	27150	16598	20758	17095	17461	11870
